code,product,technique,qty_range,price,notes
CRC106-100A,Playera Regular Fit,Serigrafía 1 tinta,10-29 pzs,269,Frente y vuelta máx. 30 x 40 cm
CRC106-100A,Playera Regular Fit,Serigrafía 1 tinta,30-49 pzs,241,Frente y vuelta máx. 30 x 40 cm
CRC106-100A,Playera Regular Fit,Serigrafía 1 tinta,50-99 pzs,227,Frente y vuelta máx. 30 x 40 cm
CRC106-100A,Playera Regular Fit,Serigrafía 1 tinta,100+ pzs,202,Frente y vuelta máx. 30 x 40 cm
CRC106-100A,Playera Regular Fit,DTF textil,10-29 pzs,333,Frente 10 x 12 cm + espalda 28 x 40 cm
CRC106-100A,Playera Regular Fit,DTF textil,30-49 pzs,308,Frente 10 x 12 cm + espalda 28 x 40 cm
CRC106-100A,Playera Regular Fit,DTF textil,50-99 pzs,296,Frente 10 x 12 cm + espalda 28 x 40 cm
CRC106-100A,Playera Regular Fit,DTF textil,100+ pzs,275,Frente 10 x 12 cm + espalda 28 x 40 cm
CRC177-100A,Playera Oversize Peso Medio,Serigrafía 1 tinta,10-29 pzs,344,
CRC177-100A,Playera Oversize Peso Medio,Serigrafía 1 tinta,30-49 pzs,316,
CRC177-100A,Playera Oversize Peso Medio,Serigrafía 1 tinta,50-99 pzs,298,
CRC177-100A,Playera Oversize Peso Medio,Serigrafía 1 tinta,100+ pzs,277,
CRC177-100A,Playera Oversize Peso Medio,DTF textil,10-29 pzs,408,
CRC177-100A,Playera Oversize Peso Medio,DTF textil,30-49 pzs,383,
CRC177-100A,Playera Oversize Peso Medio,DTF textil,50-99 pzs,371,
CRC177-100A,Playera Oversize Peso Medio,DTF textil,100+ pzs,350,
CO501,Polo Heavy Weight,Serigrafía 1 tinta,10-29 pzs,292,
CO501,Polo Heavy Weight,Serigrafía 1 tinta,30-49 pzs,264,
CO501,Polo Heavy Weight,Serigrafía 1 tinta,50-99 pzs,250,
CO501,Polo Heavy Weight,Serigrafía 1 tinta,100+ pzs,236,
CO501,Polo Heavy Weight,DTF textil,10-29 pzs,357,
CO501,Polo Heavy Weight,DTF textil,30-49 pzs,338,
CO501,Polo Heavy Weight,DTF textil,50-99 pzs,317,
CO501,Polo Heavy Weight,DTF textil,100+ pzs,299,
SCR017-50A50P,Sudadera Pullover,Serigrafía 1 tinta,10-29 pzs,356,
SCR017-50A50P,Sudadera Pullover,Serigrafía 1 tinta,30-49 pzs,335,
SCR017-50A50P,Sudadera Pullover,Serigrafía 1 tinta,50-99 pzs,322,
SCR017-50A50P,Sudadera Pullover,Serigrafía 1 tinta,100+ pzs,306,
SCR017-50A50P,Sudadera Pullover,DTF textil,10-29 pzs,416,
SCR017-50A50P,Sudadera Pullover,DTF textil,30-49 pzs,389,
SCR017-50A50P,Sudadera Pullover,DTF textil,50-99 pzs,367,
SCR017-50A50P,Sudadera Pullover,DTF textil,100+ pzs,355,
SCI644-50A50P,Sudadera Hoodie,Serigrafía 1 tinta,10-29 pzs,490,
SCI644-50A50P,Sudadera Hoodie,Serigrafía 1 tinta,30-49 pzs,472,
SCI644-50A50P,Sudadera Hoodie,Serigrafía 1 tinta,50-99 pzs,445,
SCI644-50A50P,Sudadera Hoodie,Serigrafía 1 tinta,100+ pzs,430,
SCI644-50A50P,Sudadera Hoodie,DTF textil,10-29 pzs,541,
SCI644-50A50P,Sudadera Hoodie,DTF textil,30-49 pzs,516,
SCI644-50A50P,Sudadera Hoodie,DTF textil,50-99 pzs,499,
SCI644-50A50P,Sudadera Hoodie,DTF textil,100+ pzs,480,
CL,Camisa de Mezclilla,DTF textil,10-29 pzs,688,Frente 10 x 12 cm + espalda 28 x 40 cm aprox.
CL,Camisa de Mezclilla,DTF textil,30-49 pzs,650,Frente 10 x 12 cm + espalda 28 x 40 cm aprox.
CL,Camisa de Mezclilla,DTF textil,50-99 pzs,618,Frente 10 x 12 cm + espalda 28 x 40 cm aprox.
CL,Camisa de Mezclilla,DTF textil,100+ pzs,590,Frente 10 x 12 cm + espalda 28 x 40 cm aprox.
ARES-PANT,Ares Pantalón,Prenda base,Talla 28-42,688,Código interno para la app
ARES-BERM,Ares Bermuda,Prenda base,Talla 28-42,426,Código interno para la app
GORRA-1B,Gorras,Bordado máximo 9 x 5 cm,20-29 pzs,298,1 bordado
GORRA-1B,Gorras,Bordado máximo 9 x 5 cm,30-39 pzs,271,1 bordado
GORRA-1B,Gorras,Bordado máximo 9 x 5 cm,40-59 pzs,258,1 bordado
GORRA-1B,Gorras,Bordado máximo 9 x 5 cm,60-99 pzs,245,1 bordado
GORRA-1B,Gorras,Bordado máximo 9 x 5 cm,100+ pzs,234,1 bordado
GORRA-2B,Gorras,Bordado máximo 9 x 5 cm,20-29 pzs,328,2 bordados
GORRA-2B,Gorras,Bordado máximo 9 x 5 cm,30-39 pzs,301,2 bordados
GORRA-2B,Gorras,Bordado máximo 9 x 5 cm,40-59 pzs,288,2 bordados
GORRA-2B,Gorras,Bordado máximo 9 x 5 cm,60-99 pzs,275,2 bordados
GORRA-2B,Gorras,Bordado máximo 9 x 5 cm,100+ pzs,264,2 bordados
